Date,Pastry Category,daily_count,temp_f,precip_in,humidity_pct,wind_mph,weather_condition,Total Occ %,Group Occ %,Transient Occ %,Day of Week,Weekday or Weekend,Event,Month
2024-09-01,Overnight Oats,3,74.9,0.005391304347826,87.43478260869566,4.817391304347826,rainy,14.9,0.0,14.9,SUNDAY,Weekend,Yes,September
2024-09-01,Sweet Treat,4,74.7953846153846,0.0044307692307692,87.01538461538462,4.747692307692308,rainy,14.9,0.0,14.9,SUNDAY,Weekend,Yes,September
2024-09-01,Yogurt Parfait,2,74.9,0.005391304347826,87.43478260869566,4.817391304347826,rainy,14.9,0.0,14.9,SUNDAY,Weekend,Yes,September
2024-09-02,Butter Croissant,5,69.46206896551723,0.0,71.89655172413794,6.4896551724137925,cloudy,10.9,0.0,10.9,MONDAY,Weekday,Yes,September
2024-09-02,Chocolate Croissant,6,69.46206896551723,0.0,71.89655172413794,6.4896551724137925,cloudy,10.9,0.0,10.9,MONDAY,Weekday,Yes,September
2024-09-02,Cookie/Brownie,4,69.46206896551723,0.0,71.89655172413794,6.4896551724137925,cloudy,10.9,0.0,10.9,MONDAY,Weekday,Yes,September
2024-09-02,Morning Bun,4,69.46206896551723,0.0,71.89655172413794,6.4896551724137925,cloudy,10.9,0.0,10.9,MONDAY,Weekday,Yes,September
2024-09-02,Muffin,5,69.46206896551723,0.0,71.89655172413794,6.4896551724137925,cloudy,10.9,0.0,10.9,MONDAY,Weekday,Yes,September
2024-09-02,Overnight Oats,5,69.46206896551723,0.0,71.89655172413794,6.4896551724137925,cloudy,10.9,0.0,10.9,MONDAY,Weekday,Yes,September
2024-09-02,Sweet Treat,6,70.76352941176471,0.0,70.07058823529412,6.534117647058824,cloudy,10.9,0.0,10.9,MONDAY,Weekday,Yes,September
2024-09-02,Yogurt Parfait,3,69.46206896551723,0.0,71.89655172413794,6.4896551724137925,cloudy,10.9,0.0,10.9,MONDAY,Weekday,Yes,September
2024-09-03,Butter Croissant,2,67.25833333333334,0.0,71.83333333333333,5.766666666666667,cloudy,8.6,0.0,8.6,TUESDAY,Weekday,No,September
2024-09-03,Muffin,6,67.25833333333334,0.0,71.83333333333333,5.766666666666667,cloudy,8.6,0.0,8.6,TUESDAY,Weekday,No,September
2024-09-03,Overnight Oats,3,67.25833333333334,0.0,71.83333333333333,5.766666666666667,cloudy,8.6,0.0,8.6,TUESDAY,Weekday,No,September
2024-09-03,Sweet Treat,3,68.44444444444444,0.0,69.66666666666667,5.588888888888889,cloudy,8.6,0.0,8.6,TUESDAY,Weekday,No,September
2024-09-03,Yogurt Parfait,2,67.25833333333334,0.0,71.83333333333333,5.766666666666667,cloudy,8.6,0.0,8.6,TUESDAY,Weekday,No,September
2024-09-04,Butter Croissant,8,70.11111111111111,0.0,67.66666666666667,3.855555555555556,clear,14.3,0.0,14.3,WEDNESDAY,Weekday,No,September
2024-09-04,Chocolate Croissant,1,70.11111111111111,0.0,67.66666666666667,3.855555555555556,clear,14.3,0.0,14.3,WEDNESDAY,Weekday,No,September
2024-09-04,Cookie/Brownie,2,70.11111111111111,0.0,67.66666666666667,3.855555555555556,clear,14.3,0.0,14.3,WEDNESDAY,Weekday,No,September
2024-09-04,Morning Bun,2,70.11111111111111,0.0,67.66666666666667,3.855555555555556,clear,14.3,0.0,14.3,WEDNESDAY,Weekday,No,September
2024-09-04,Muffin,1,70.11111111111111,0.0,67.66666666666667,3.855555555555556,clear,14.3,0.0,14.3,WEDNESDAY,Weekday,No,September
2024-09-04,Overnight Oats,3,70.11111111111111,0.0,67.66666666666667,3.855555555555556,clear,14.3,0.0,14.3,WEDNESDAY,Weekday,No,September
2024-09-04,Sweet Treat,5,70.97666666666667,0.0,65.41666666666667,3.8766666666666665,clear,14.3,0.0,14.3,WEDNESDAY,Weekday,No,September
2024-09-04,Yogurt Parfait,4,70.11111111111111,0.0,67.66666666666667,3.855555555555556,clear,14.3,0.0,14.3,WEDNESDAY,Weekday,No,September
2024-09-05,Butter Croissant,8,71.80416666666666,0.0,81.70833333333333,3.725,clear,26.9,0.0,26.9,THURSDAY,Weekday,No,September
2024-09-05,Cookie/Brownie,2,71.80416666666666,0.0,81.70833333333333,3.725,clear,26.9,0.0,26.9,THURSDAY,Weekday,No,September
2024-09-05,Morning Bun,1,71.80416666666666,0.0,81.70833333333333,3.725,clear,26.9,0.0,26.9,THURSDAY,Weekday,No,September
2024-09-05,Muffin,11,71.80416666666666,0.0,81.70833333333333,3.725,clear,26.9,0.0,26.9,THURSDAY,Weekday,No,September
2024-09-05,Overnight Oats,5,71.80416666666666,0.0,81.70833333333333,3.725,clear,26.9,0.0,26.9,THURSDAY,Weekday,No,September
2024-09-05,Sweet Treat,5,72.12539682539682,0.0,80.87301587301587,3.6857142857142855,clear,26.9,0.0,26.9,THURSDAY,Weekday,No,September
2024-09-05,Yogurt Parfait,7,71.80416666666666,0.0,81.70833333333333,3.725,clear,26.9,0.0,26.9,THURSDAY,Weekday,No,September
2024-09-06,Butter Croissant,8,70.675,0.0,84.95,5.6,clear,14.3,1.1,13.1,FRIDAY,Weekday,No,September
2024-09-06,Chocolate Croissant,3,70.675,0.0,84.95,5.6,clear,14.3,1.1,13.1,FRIDAY,Weekday,No,September
2024-09-06,Morning Bun,3,70.675,0.0,84.95,5.6,clear,14.3,1.1,13.1,FRIDAY,Weekday,No,September
2024-09-06,Muffin,3,70.675,0.0,84.95,5.6,clear,14.3,1.1,13.1,FRIDAY,Weekday,No,September
2024-09-06,Overnight Oats,1,70.675,0.0,84.95,5.6,clear,14.3,1.1,13.1,FRIDAY,Weekday,No,September
2024-09-06,Sweet Treat,5,72.43538461538462,0.0,79.76923076923077,6.087692307692308,clear,14.3,1.1,13.1,FRIDAY,Weekday,No,September
2024-09-06,Yogurt Parfait,11,70.675,0.0,84.95,5.6,clear,14.3,1.1,13.1,FRIDAY,Weekday,No,September
2024-09-07,Butter Croissant,8,63.10967741935484,0.0,55.54838709677419,7.4,clear,18.3,5.7,12.6,SATURDAY,Weekend,Yes,September
2024-09-07,Chocolate Croissant,5,63.10967741935484,0.0,55.54838709677419,7.4,clear,18.3,5.7,12.6,SATURDAY,Weekend,Yes,September
2024-09-07,Cookie/Brownie,3,63.10967741935484,0.0,55.54838709677419,7.4,clear,18.3,5.7,12.6,SATURDAY,Weekend,Yes,September
2024-09-07,Morning Bun,1,63.10967741935484,0.0,55.54838709677419,7.4,clear,18.3,5.7,12.6,SATURDAY,Weekend,Yes,September
2024-09-07,Muffin,10,63.10967741935484,0.0,55.54838709677419,7.4,clear,18.3,5.7,12.6,SATURDAY,Weekend,Yes,September
2024-09-07,Overnight Oats,1,63.10967741935484,0.0,55.54838709677419,7.4,clear,18.3,5.7,12.6,SATURDAY,Weekend,Yes,September
2024-09-07,Sweet Treat,9,63.522340425531915,0.0,54.255319148936174,7.52127659574468,clear,18.3,5.7,12.6,SATURDAY,Weekend,Yes,September
2024-09-07,Yogurt Parfait,8,63.10967741935484,0.0,55.54838709677419,7.4,clear,18.3,5.7,12.6,SATURDAY,Weekend,Yes,September
2024-09-08,Butter Croissant,6,61.03793103448275,0.0,62.48275862068966,5.289655172413793,clear,17.7,5.7,12.0,SUNDAY,Weekend,No,September
2024-09-08,Chocolate Croissant,6,61.03793103448275,0.0,62.48275862068966,5.289655172413793,clear,17.7,5.7,12.0,SUNDAY,Weekend,No,September
2024-09-08,Cookie/Brownie,3,61.03793103448275,0.0,62.48275862068966,5.289655172413793,clear,17.7,5.7,12.0,SUNDAY,Weekend,No,September
2024-09-08,Morning Bun,4,61.03793103448275,0.0,62.48275862068966,5.289655172413793,clear,17.7,5.7,12.0,SUNDAY,Weekend,No,September
2024-09-08,Muffin,4,61.03793103448275,0.0,62.48275862068966,5.289655172413793,clear,17.7,5.7,12.0,SUNDAY,Weekend,No,September
2024-09-08,Overnight Oats,3,61.03793103448275,0.0,62.48275862068966,5.289655172413793,clear,17.7,5.7,12.0,SUNDAY,Weekend,No,September
2024-09-08,Sweet Treat,8,62.156578947368416,0.0,59.64473684210526,5.205263157894737,clear,17.7,5.7,12.0,SUNDAY,Weekend,No,September
2024-09-08,Yogurt Parfait,4,61.03793103448275,0.0,62.48275862068966,5.289655172413793,clear,17.7,5.7,12.0,SUNDAY,Weekend,No,September
2024-09-09,Butter Croissant,1,64.51428571428572,0.0,52.5,3.9857142857142858,clear,6.9,1.7,5.1,MONDAY,Weekday,No,September
2024-09-09,Chocolate Croissant,1,64.51428571428572,0.0,52.5,3.9857142857142858,clear,6.9,1.7,5.1,MONDAY,Weekday,No,September
2024-09-09,Cookie/Brownie,1,64.51428571428572,0.0,52.5,3.9857142857142858,clear,6.9,1.7,5.1,MONDAY,Weekday,No,September
2024-09-09,Morning Bun,1,64.51428571428572,0.0,52.5,3.9857142857142858,clear,6.9,1.7,5.1,MONDAY,Weekday,No,September
2024-09-09,Muffin,5,64.51428571428572,0.0,52.5,3.9857142857142858,clear,6.9,1.7,5.1,MONDAY,Weekday,No,September
2024-09-09,Overnight Oats,4,64.51428571428572,0.0,52.5,3.9857142857142858,clear,6.9,1.7,5.1,MONDAY,Weekday,No,September
2024-09-09,Sweet Treat,4,63.43695652173913,0.0,54.41304347826087,4.115217391304348,clear,6.9,1.7,5.1,MONDAY,Weekday,No,September
2024-09-10,Butter Croissant,5,66.26190476190476,0.0,53.714285714285715,5.242857142857143,clear,21.1,8.6,12.6,TUESDAY,Weekday,No,September
2024-09-10,Chocolate Croissant,3,66.26190476190476,0.0,53.714285714285715,5.242857142857143,clear,21.1,8.6,12.6,TUESDAY,Weekday,No,September
2024-09-10,Cookie/Brownie,1,66.26190476190476,0.0,53.714285714285715,5.242857142857143,clear,21.1,8.6,12.6,TUESDAY,Weekday,No,September
2024-09-10,Morning Bun,1,66.26190476190476,0.0,53.714285714285715,5.242857142857143,clear,21.1,8.6,12.6,TUESDAY,Weekday,No,September
2024-09-10,Muffin,2,66.26190476190476,0.0,53.714285714285715,5.242857142857143,clear,21.1,8.6,12.6,TUESDAY,Weekday,No,September
2024-09-10,Overnight Oats,9,66.26190476190476,0.0,53.714285714285715,5.242857142857143,clear,21.1,8.6,12.6,TUESDAY,Weekday,No,September
2024-09-10,Sweet Treat,4,66.13620689655173,0.0,54.327586206896555,5.06551724137931,clear,21.1,8.6,12.6,TUESDAY,Weekday,No,September
2024-09-10,Yogurt Parfait,4,66.26190476190476,0.0,53.714285714285715,5.242857142857143,clear,21.1,8.6,12.6,TUESDAY,Weekday,No,September
2024-09-11,Butter Croissant,4,72.63,0.0,68.65,5.8100000000000005,clear,74.3,60.6,13.7,WEDNESDAY,Weekday,No,September
2024-09-11,Chocolate Croissant,2,72.63,0.0,68.65,5.8100000000000005,clear,74.3,60.6,13.7,WEDNESDAY,Weekday,No,September
2024-09-11,Morning Bun,3,72.63,0.0,68.65,5.8100000000000005,clear,74.3,60.6,13.7,WEDNESDAY,Weekday,No,September
2024-09-11,Muffin,6,72.63,0.0,68.65,5.8100000000000005,clear,74.3,60.6,13.7,WEDNESDAY,Weekday,No,September
2024-09-11,Overnight Oats,3,72.63,0.0,68.65,5.8100000000000005,clear,74.3,60.6,13.7,WEDNESDAY,Weekday,No,September
2024-09-11,Sweet Treat,2,73.33088235294117,0.0,66.11764705882354,6.052941176470589,clear,74.3,60.6,13.7,WEDNESDAY,Weekday,No,September
2024-09-11,Yogurt Parfait,3,72.63,0.0,68.65,5.8100000000000005,clear,74.3,60.6,13.7,WEDNESDAY,Weekday,No,September
2024-09-12,Butter Croissant,3,71.30499999999999,0.0004,68.8,5.875,cloudy,73.1,61.1,12.0,THURSDAY,Weekday,No,September
2024-09-12,Chocolate Croissant,2,71.30499999999999,0.0004,68.8,5.875,cloudy,73.1,61.1,12.0,THURSDAY,Weekday,No,September
2024-09-12,Cookie/Brownie,2,71.30499999999999,0.0004,68.8,5.875,cloudy,73.1,61.1,12.0,THURSDAY,Weekday,No,September
2024-09-12,Morning Bun,2,71.30499999999999,0.0004,68.8,5.875,cloudy,73.1,61.1,12.0,THURSDAY,Weekday,No,September
2024-09-12,Muffin,6,71.30499999999999,0.0004,68.8,5.875,cloudy,73.1,61.1,12.0,THURSDAY,Weekday,No,September
2024-09-12,Overnight Oats,4,71.30499999999999,0.0004,68.8,5.875,cloudy,73.1,61.1,12.0,THURSDAY,Weekday,No,September
2024-09-12,Sweet Treat,4,70.99571428571429,0.0002285714285714,69.18571428571428,5.7542857142857144,cloudy,73.1,61.1,12.0,THURSDAY,Weekday,No,September
2024-09-12,Yogurt Parfait,4,71.30499999999999,0.0004,68.8,5.875,cloudy,73.1,61.1,12.0,THURSDAY,Weekday,No,September
2024-09-13,Butter Croissant,3,67.9875,0.004,78.75,8.0375,rainy,49.7,34.3,15.4,FRIDAY,Weekday,No,September
2024-09-13,Chocolate Croissant,3,67.9875,0.004,78.75,8.0375,rainy,49.7,34.3,15.4,FRIDAY,Weekday,No,September
2024-09-13,Cookie/Brownie,4,67.9875,0.004,78.75,8.0375,rainy,49.7,34.3,15.4,FRIDAY,Weekday,No,September
2024-09-13,Morning Bun,2,67.9875,0.004,78.75,8.0375,rainy,49.7,34.3,15.4,FRIDAY,Weekday,No,September
2024-09-13,Muffin,3,67.9875,0.004,78.75,8.0375,rainy,49.7,34.3,15.4,FRIDAY,Weekday,No,September
2024-09-13,Overnight Oats,4,67.9875,0.004,78.75,8.0375,rainy,49.7,34.3,15.4,FRIDAY,Weekday,No,September
2024-09-13,Sweet Treat,5,67.92999999999999,0.0038857142857142,78.5,8.047142857142857,rainy,49.7,34.3,15.4,FRIDAY,Weekday,No,September
2024-09-13,Yogurt Parfait,5,67.9875,0.004,78.75,8.0375,rainy,49.7,34.3,15.4,FRIDAY,Weekday,No,September
2024-09-14,Butter Croissant,6,69.86923076923077,0.0,81.6923076923077,6.334615384615384,cloudy,28.0,2.3,25.7,SATURDAY,Weekend,Yes,September
2024-09-14,Chocolate Croissant,4,69.86923076923077,0.0,81.6923076923077,6.334615384615384,cloudy,28.0,2.3,25.7,SATURDAY,Weekend,Yes,September
2024-09-14,Cookie/Brownie,5,69.86923076923077,0.0,81.6923076923077,6.334615384615384,cloudy,28.0,2.3,25.7,SATURDAY,Weekend,Yes,September
2024-09-14,Morning Bun,3,69.86923076923077,0.0,81.6923076923077,6.334615384615384,cloudy,28.0,2.3,25.7,SATURDAY,Weekend,Yes,September
2024-09-14,Muffin,5,69.86923076923077,0.0,81.6923076923077,6.334615384615384,cloudy,28.0,2.3,25.7,SATURDAY,Weekend,Yes,September
2024-09-14,Overnight Oats,7,69.86923076923077,0.0,81.6923076923077,6.334615384615384,cloudy,28.0,2.3,25.7,SATURDAY,Weekend,Yes,September
2024-09-14,Sweet Treat,3,71.28441558441558,0.0,77.77922077922078,6.467532467532467,cloudy,28.0,2.3,25.7,SATURDAY,Weekend,Yes,September
2024-09-14,Yogurt Parfait,10,69.86923076923077,0.0,81.6923076923077,6.334615384615384,cloudy,28.0,2.3,25.7,SATURDAY,Weekend,Yes,September
2024-09-15,Butter Croissant,6,70.00526315789473,0.0,84.15789473684211,8.278947368421052,cloudy,25.7,0.6,25.1,SUNDAY,Weekend,No,September
2024-09-15,Chocolate Croissant,5,70.00526315789473,0.0,84.15789473684211,8.278947368421052,cloudy,25.7,0.6,25.1,SUNDAY,Weekend,No,September
2024-09-15,Cookie/Brownie,1,70.00526315789473,0.0,84.15789473684211,8.278947368421052,cloudy,25.7,0.6,25.1,SUNDAY,Weekend,No,September
2024-09-15,Morning Bun,2,70.00526315789473,0.0,84.15789473684211,8.278947368421052,cloudy,25.7,0.6,25.1,SUNDAY,Weekend,No,September
2024-09-15,Muffin,4,70.00526315789473,0.0,84.15789473684211,8.278947368421052,cloudy,25.7,0.6,25.1,SUNDAY,Weekend,No,September
2024-09-15,Overnight Oats,3,70.00526315789473,0.0,84.15789473684211,8.278947368421052,cloudy,25.7,0.6,25.1,SUNDAY,Weekend,No,September
2024-09-15,Yogurt Parfait,6,70.00526315789473,0.0,84.15789473684211,8.278947368421052,cloudy,25.7,0.6,25.1,SUNDAY,Weekend,No,September
2024-09-16,Butter Croissant,5,72.27199999999999,0.00224,78.56,6.984,rainy,15.4,0.6,14.9,MONDAY,Weekday,No,September
2024-09-16,Chocolate Croissant,3,72.27199999999999,0.00224,78.56,6.984,rainy,15.4,0.6,14.9,MONDAY,Weekday,No,September
2024-09-16,Cookie/Brownie,3,72.27199999999999,0.00224,78.56,6.984,rainy,15.4,0.6,14.9,MONDAY,Weekday,No,September
2024-09-16,Morning Bun,3,72.27199999999999,0.00224,78.56,6.984,rainy,15.4,0.6,14.9,MONDAY,Weekday,No,September
2024-09-16,Muffin,3,72.27199999999999,0.00224,78.56,6.984,rainy,15.4,0.6,14.9,MONDAY,Weekday,No,September
2024-09-16,Overnight Oats,7,72.27199999999999,0.00224,78.56,6.984,rainy,15.4,0.6,14.9,MONDAY,Weekday,No,September
2024-09-16,Sweet Treat,3,72.33243243243244,0.0022702702702702,78.21621621621621,7.301351351351351,rainy,15.4,0.6,14.9,MONDAY,Weekday,No,September
2024-09-16,Yogurt Parfait,2,72.27199999999999,0.00224,78.56,6.984,rainy,15.4,0.6,14.9,MONDAY,Weekday,No,September
2024-09-17,Butter Croissant,7,69.13448275862069,0.0002758620689655,87.72413793103448,5.224137931034483,clear,56.6,9.1,47.4,TUESDAY,Weekday,No,September
2024-09-17,Chocolate Croissant,4,69.13448275862069,0.0002758620689655,87.72413793103448,5.224137931034483,clear,56.6,9.1,47.4,TUESDAY,Weekday,No,September
2024-09-17,Cookie/Brownie,6,69.13448275862069,0.0002758620689655,87.72413793103448,5.224137931034483,clear,56.6,9.1,47.4,TUESDAY,Weekday,No,September
2024-09-17,Morning Bun,3,69.13448275862069,0.0002758620689655,87.72413793103448,5.224137931034483,clear,56.6,9.1,47.4,TUESDAY,Weekday,No,September
2024-09-17,Muffin,3,69.13448275862069,0.0002758620689655,87.72413793103448,5.224137931034483,clear,56.6,9.1,47.4,TUESDAY,Weekday,No,September
2024-09-17,Overnight Oats,7,69.13448275862069,0.0002758620689655,87.72413793103448,5.224137931034483,clear,56.6,9.1,47.4,TUESDAY,Weekday,No,September
2024-09-17,Sweet Treat,5,71.08901098901099,0.0005274725274725,82.62637362637362,5.248351648351648,clear,56.6,9.1,47.4,TUESDAY,Weekday,No,September
2024-09-17,Yogurt Parfait,12,69.13448275862069,0.0002758620689655,87.72413793103448,5.224137931034483,clear,56.6,9.1,47.4,TUESDAY,Weekday,No,September
2024-09-18,Butter Croissant,5,71.16666666666667,0.0003333333333333,75.625,5.125,clear,70.9,0.0,70.9,WEDNESDAY,Weekday,Yes,September
2024-09-18,Chocolate Croissant,4,71.16666666666667,0.0003333333333333,75.625,5.125,clear,70.9,0.0,70.9,WEDNESDAY,Weekday,Yes,September
2024-09-18,Cookie/Brownie,6,71.16666666666667,0.0003333333333333,75.625,5.125,clear,70.9,0.0,70.9,WEDNESDAY,Weekday,Yes,September
2024-09-18,Muffin,4,71.16666666666667,0.0003333333333333,75.625,5.125,clear,70.9,0.0,70.9,WEDNESDAY,Weekday,Yes,September
2024-09-18,Overnight Oats,7,71.16666666666667,0.0003333333333333,75.625,5.125,clear,70.9,0.0,70.9,WEDNESDAY,Weekday,Yes,September
2024-09-18,Sweet Treat,3,72.5967032967033,0.0004395604395604,72.8021978021978,5.271428571428571,clear,70.9,0.0,70.9,WEDNESDAY,Weekday,Yes,September
2024-09-18,Yogurt Parfait,7,71.16666666666667,0.0003333333333333,75.625,5.125,clear,70.9,0.0,70.9,WEDNESDAY,Weekday,Yes,September
2024-09-19,Butter Croissant,2,74.20588235294117,0.0,72.29411764705883,6.3,cloudy,73.1,0.0,73.1,THURSDAY,Weekday,Yes,September
2024-09-19,Chocolate Croissant,1,74.20588235294117,0.0,72.29411764705883,6.3,cloudy,73.1,0.0,73.1,THURSDAY,Weekday,Yes,September
2024-09-19,Morning Bun,2,74.20588235294117,0.0,72.29411764705883,6.3,cloudy,73.1,0.0,73.1,THURSDAY,Weekday,Yes,September
2024-09-19,Muffin,6,74.20588235294117,0.0,72.29411764705883,6.3,cloudy,73.1,0.0,73.1,THURSDAY,Weekday,Yes,September
2024-09-19,Sweet Treat,3,73.55199999999999,0.0,72.77333333333333,6.588,cloudy,73.1,0.0,73.1,THURSDAY,Weekday,Yes,September
2024-09-19,Yogurt Parfait,15,74.20588235294117,0.0,72.29411764705883,6.3,cloudy,73.1,0.0,73.1,THURSDAY,Weekday,Yes,September
2024-09-20,Butter Croissant,4,79.73478260869565,0.0010434782608695,67.95652173913044,7.078260869565218,clear,38.9,0.0,38.9,FRIDAY,Weekday,Yes,September
2024-09-20,Chocolate Croissant,3,79.73478260869565,0.0010434782608695,67.95652173913044,7.078260869565218,clear,38.9,0.0,38.9,FRIDAY,Weekday,Yes,September
2024-09-20,Cookie/Brownie,1,79.73478260869565,0.0010434782608695,67.95652173913044,7.078260869565218,clear,38.9,0.0,38.9,FRIDAY,Weekday,Yes,September
2024-09-20,Morning Bun,3,79.73478260869565,0.0010434782608695,67.95652173913044,7.078260869565218,clear,38.9,0.0,38.9,FRIDAY,Weekday,Yes,September
2024-09-20,Muffin,3,79.73478260869565,0.0010434782608695,67.95652173913044,7.078260869565218,clear,38.9,0.0,38.9,FRIDAY,Weekday,Yes,September
2024-09-20,Overnight Oats,7,79.73478260869565,0.0010434782608695,67.95652173913044,7.078260869565218,clear,38.9,0.0,38.9,FRIDAY,Weekday,Yes,September
2024-09-20,Sweet Treat,7,79.69764705882353,0.001035294117647,68.36470588235294,7.047058823529412,clear,38.9,0.0,38.9,FRIDAY,Weekday,Yes,September
2024-09-20,Yogurt Parfait,6,79.73478260869565,0.0010434782608695,67.95652173913044,7.078260869565218,clear,38.9,0.0,38.9,FRIDAY,Weekday,Yes,September
2024-09-21,Butter Croissant,6,79.3875,0.0,70.66666666666667,5.125,cloudy,25.1,0.0,25.1,SATURDAY,Weekend,Yes,September
2024-09-21,Chocolate Croissant,3,79.3875,0.0,70.66666666666667,5.125,cloudy,25.1,0.0,25.1,SATURDAY,Weekend,Yes,September
2024-09-21,Cookie/Brownie,2,79.3875,0.0,70.66666666666667,5.125,cloudy,25.1,0.0,25.1,SATURDAY,Weekend,Yes,September
2024-09-21,Muffin,7,79.3875,0.0,70.66666666666667,5.125,cloudy,25.1,0.0,25.1,SATURDAY,Weekend,Yes,September
2024-09-21,Overnight Oats,5,79.3875,0.0,70.66666666666667,5.125,cloudy,25.1,0.0,25.1,SATURDAY,Weekend,Yes,September
2024-09-21,Sweet Treat,5,80.26477272727273,0.0,68.56818181818181,5.138636363636364,cloudy,25.1,0.0,25.1,SATURDAY,Weekend,Yes,September
2024-09-21,Yogurt Parfait,5,79.3875,0.0,70.66666666666667,5.125,cloudy,25.1,0.0,25.1,SATURDAY,Weekend,Yes,September
2024-09-22,Butter Croissant,1,76.71176470588236,0.0154117647058823,75.47058823529412,3.152941176470588,cloudy,24.6,0.0,24.6,SUNDAY,Weekend,No,September
2024-09-22,Chocolate Croissant,3,76.71176470588236,0.0154117647058823,75.47058823529412,3.152941176470588,cloudy,24.6,0.0,24.6,SUNDAY,Weekend,No,September
2024-09-22,Cookie/Brownie,1,76.71176470588236,0.0154117647058823,75.47058823529412,3.152941176470588,cloudy,24.6,0.0,24.6,SUNDAY,Weekend,No,September
2024-09-22,Morning Bun,0,76.71176470588236,0.0154117647058823,75.47058823529412,3.152941176470588,cloudy,24.6,0.0,24.6,SUNDAY,Weekend,No,September
2024-09-22,Muffin,6,76.71176470588236,0.0154117647058823,75.47058823529412,3.152941176470588,cloudy,24.6,0.0,24.6,SUNDAY,Weekend,No,September
2024-09-22,Overnight Oats,3,76.71176470588236,0.0154117647058823,75.47058823529412,3.152941176470588,cloudy,24.6,0.0,24.6,SUNDAY,Weekend,No,September
2024-09-22,Sweet Treat,2,77.05454545454546,0.0081515151515151,74.36363636363636,3.0924242424242423,cloudy,24.6,0.0,24.6,SUNDAY,Weekend,No,September
2024-09-22,Yogurt Parfait,6,76.71176470588236,0.0154117647058823,75.47058823529412,3.152941176470588,cloudy,24.6,0.0,24.6,SUNDAY,Weekend,No,September
2024-09-23,Butter Croissant,2,69.65714285714286,0.0028571428571428,89.07142857142857,4.05,cloudy,15.4,0.0,15.4,MONDAY,Weekday,No,September
2024-09-23,Chocolate Croissant,3,69.65714285714286,0.0028571428571428,89.07142857142857,4.05,cloudy,15.4,0.0,15.4,MONDAY,Weekday,No,September
2024-09-23,Muffin,4,69.65714285714286,0.0028571428571428,89.07142857142857,4.05,cloudy,15.4,0.0,15.4,MONDAY,Weekday,No,September
2024-09-23,Overnight Oats,6,69.65714285714286,0.0028571428571428,89.07142857142857,4.05,cloudy,15.4,0.0,15.4,MONDAY,Weekday,No,September
2024-09-23,Sweet Treat,2,69.53484848484848,0.0015757575757575,89.21212121212122,3.422727272727273,cloudy,15.4,0.0,15.4,MONDAY,Weekday,No,September
2024-09-23,Yogurt Parfait,4,69.65714285714286,0.0028571428571428,89.07142857142857,4.05,cloudy,15.4,0.0,15.4,MONDAY,Weekday,No,September
2024-09-24,Butter Croissant,11,62.544999999999995,0.0,88.45,4.74,clear,65.7,0.6,65.1,TUESDAY,Weekday,No,September
2024-09-24,Chocolate Croissant,4,62.544999999999995,0.0,88.45,4.74,clear,65.7,0.6,65.1,TUESDAY,Weekday,No,September
2024-09-24,Morning Bun,2,62.544999999999995,0.0,88.45,4.74,clear,65.7,0.6,65.1,TUESDAY,Weekday,No,September
